,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,90,US,1509152160,50,42.1,-79.24,57.2,11.41
1,Bredasdorp,0,ZA,1509152400,76,-34.53,20.04,50.0,5.82
2,Busselton,8,AU,1509153705,100,-33.65,115.33,63.94,24.94
3,Jiwani,0,PK,1509153706,96,25.05,61.74,68.21,2.75
4,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
5,Hithadhoo,0,MV,1509153706,100,-0.6,73.08,82.39,4.59
6,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
7,Tuktoyaktuk,90,CA,1509152400,92,69.45,-133.04,28.4,9.17
8,Hithadhoo,0,MV,1509153706,100,-0.6,73.08,82.39,4.59
9,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
10,Alice,90,US,1509152100,33,27.75,-98.07,64.4,20.8
11,Bluff,0,NZ,1509153707,96,-46.6,168.33,53.77,2.46
12,Dniprodzerzhynsk,90,UA,1509150960,100,48.51,34.6,48.2,11.63
13,Gurgaon,0,IN,1509150600,77,28.47,77.03,66.2,2.8
14,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
15,Butaritari,0,KI,1509153708,100,3.07,172.79,83.38,9.24
16,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
17,Cidreira,92,BR,1509153620,100,-30.18,-50.21,64.3,7.49
18,Nueva Loja,36,EC,1509153708,74,0.08,-76.88,80.05,2.24
19,Loukhi,76,RU,1509153709,96,66.08,33.04,32.08,11.74
20,Port Alfred,92,ZA,1509153709,97,-33.59,26.89,57.37,3.8
21,Svetlyy,75,RU,1509148800,93,54.67,20.13,42.8,6.71
22,San Juan,12,PE,1509153710,100,-15.37,-75.16,59.89,12.93
23,New Norfolk,20,AU,1509152400,40,-42.78,147.06,71.6,8.05
24,Yellowknife,90,CA,1509152400,93,62.46,-114.35,35.6,11.41
25,Yellowknife,90,CA,1509152400,93,62.46,-114.35,35.6,11.41
26,Georgetown,0,GY,1509148800,88,6.8,-58.16,78.8,4.7
27,Fukue,100,JP,1509153711,100,32.69,128.84,71.77,22.32
28,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
29,Bafoulabe,0,ML,1509153711,48,13.81,-10.83,77.17,6.33
30,Kutum,0,SD,1509153711,21,14.2,24.67,64.61,10.58
31,Bluff,0,NZ,1509153707,96,-46.6,168.33,53.77,2.46
32,Hermanus,0,ZA,1509153712,81,-34.42,19.23,44.77,6.6
33,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
34,Solhan,0,TR,1509153712,82,38.96,41.03,36.53,2.68
35,Upernavik,88,GL,1509153713,100,72.79,-56.15,29.11,6.49
36,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
37,Arraial do Cabo,75,BR,1509148800,88,-22.97,-42.03,75.2,13.87
38,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
39,Avarua,12,CK,1509153537,100,-21.21,-159.78,73.93,14.43
40,Yellowknife,90,CA,1509152400,93,62.46,-114.35,35.6,11.41
41,Rockingham,90,AU,1509152400,55,-32.28,115.72,66.2,19.46
42,Vaini,75,TO,1509152400,83,-21.2,-175.2,82.4,2.24
43,Shahrud,8,IR,1509153715,85,36.42,54.98,37.39,2.53
44,Rudsar,75,IR,1509148800,88,37.14,50.29,66.2,6.49
45,Tongren,8,CN,1509153715,92,27.72,109.19,56.2,2.75
46,Port Blair,0,IN,1509153716,100,11.67,92.75,82.21,7.11
47,Cidreira,92,BR,1509153620,100,-30.18,-50.21,64.3,7.49
